0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:34 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:34 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:35 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:35 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:35 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:35 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:35 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:35 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:36 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:36 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:36 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:36 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:57 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:57 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:58 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:58 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:01:05 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:01:05 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:02:13 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:02:13 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:02:13 +0530] "GET /RegisterLoginPage/bgpic4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:02:14 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:02:14 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:02:24 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
